prompt,phrase_1,phrase_2,phrase_3,phrase_4,phrase_5,phrase_6,phrase_7,phrase_8,phrase_9,phrase_10
"when in doubt, wait",twenty four hours,for calm clarity,before sending emails,until morning comes,for emotions to settle,a full day,for better perspective,before major purchases,to reconsider carefully,one more night
write things down about,brilliant ideas,passwords somewhere,memorable moments,important conversations,lessons learned,funny stories,gifts people mention,promises you make,goals and dreams,gratitude daily
I always overpack,shoes and outfits,for beach trips,just in case,anxiety and guilt,snacks for later,backup chargers,books never read,extra underwear,worst case scenarios,my anxious energy
I am secretly afraid of,deep water,being ordinary,public speaking,flying in planes,wasting my life,spiders and snakes,the dark still,failing publicly,disappointing parents,dying alone
I am too competitive about,board games,trivia nights,spelling bees,everything stupid,driving speed,word games,cooking shows,fitness tracking,arguing online,karaoke scores
I apologize for,existing sometimes,taking up space,everything constantly,breathing too loud,being myself,inconveniencing anyone,my resting face,absolutely nothing,asking questions,my loud laugh
I avoid confrontation about,minor annoyances,everything possible,hurt feelings,unpaid debts,bad service,borrowed items,noisy neighbors,relationship issues,workplace problems,family drama
I bought a duplicate of,favorite jeans,phone chargers,backup deodorant,shoes I love,the same book,eyebrow pencils,black leggings,comfort foods,hair products,my favorite mug
I break rules for,good pizza,rescue dogs,my kids only,chocolate always,family emergencies,true love,free food,parking spots,best friends,birthday cake
I can't resist buying,books constantly,office supplies,plants I kill,cute socks,fancy pens,kitchen gadgets,scented candles,succulents again,notebooks galore,clearance items
I care too much about,strangers opinions,being liked,perfect punctuation,fictional characters,proper grammar,my lawn grass,thread counts,parallel parking,minor details,everyone else
I clicked buy on,impulse again,midnight madness,something stupid,emotional hunger,targeted ads,drunk browsing,retail therapy,late night scroll,budget obliteration,future regrets
I collect tiny,hotel soaps,resentments daily,grudges carefully,spoons from travels,failures and wins,ceramic animals,happy memories,buttons and pins,vintage toys,airline bottles
I daydream about,winning lottery,quitting my job,tropical vacations,perfect comebacks,being famous,early retirement,fantasy adventures,alternate lives,telling bosses off,unlimited budgets
I delete texts about,awkward exchanges,embarrassing moments,drunk messages sent,emotional outbursts,passive aggressive jabs,evidence basically,oversharing incidents,late night confessions,cringy flirting,financial shame
I dread being asked about,my love life,career plans,having kids,my writing progress,future goals,the wedding date,my salary,political views,relationship status,when graduating
I exaggerate when talking about,fish sizes,my accomplishments,workout routines,how busy am,childhood adventures,salary history,travel distances,near death experiences,my cooking skills,partying days
I fake confidence about,adulting skills,tech knowledge,cooking abilities,directions always,everything really,wine tasting,job competence,my opinions,sports knowledge,car maintenance
I fall for ads about,miracle products,weight loss,kitchen gadgets,skin care,fitness equipment,productivity tools,hair treatments,organization systems,quick fixes,anti aging
I fear missing out on,social gatherings,limited offers,viral moments,group texts,exclusive events,insider knowledge,cultural phenomena,trending topics,friend hangouts,internet drama
I feel guilty about,everything always,resting peacefully,saying no,my privilege,eating desserts,taking breaks,spending money,not calling mom,being happy,existing sometimes
I get anxious around,phone calls,authority figures,social gatherings,deadline pressure,conflict brewing,loud noises,crowded spaces,making decisions,parallel parking,unexpected changes
I get defensive about,my parenting,creative choices,music taste,my intelligence,political beliefs,spending habits,my sensitivity,career choices,lifestyle decisions,literally everything
I get irrationally angry about,slow walkers,loud chewing,grammatical errors,traffic jams,spoilers anywhere,pen clicking,reply all emails,wet socks,people chewing,tangled cords
I get jealous when,friends hang out,others succeed,pets prefer others,partners text exes,siblings get attention,colleagues get promoted,people vacation,influencers travel,babies steal spotlight,strangers look happy
I hate admitting,when wrong,I need help,my real age,I was wrong,ignorance openly,defeat gracefully,being scared,I don't know,jealous feelings,my mistakes
I have a hidden collection of,takeout menus,rubber bands,hotel toiletries,plastic bags,old concert tickets,unused notebooks,expired coupons,broken electronics,sauce packets,bobby pins
I hide snacks in,desk drawers,my purse always,bedroom closets,car glove box,laundry room,bathroom cabinets,winter coat pockets,filing cabinets,sock drawers,random places
I hoard backups of,phone chargers,passwords written down,important files,favorite pens,critical codes,critical documents,external drives,old phones,backup batteries,flash drives
I laugh at,inappropriate times,my own jokes,terrible puns,awkward silences,funerals sometimes,serious moments,bad news,cringey humor,absolute nonsense,when nervous
I lie to myself about,screen time,my budget,exercise routines,eating habits,bedtime schedules,drinking water,starting tomorrow,productivity levels,being fine,spending limits
I live above my means for,nice restaurants,designer clothes,travel adventures,coffee shops,fancy dinners,concert tickets,good wine,tech gadgets,organic groceries,luxury skincare
I lose time scrolling,social media endlessly,late at night,real estate listings,travel photos,random wikis,ex profiles,celebrity gossip,recipe videos,relationship subreddits,interior design
I once lied about,reading that book,my qualifications,being sick,my age,seeing that movie,knowing celebrities,having plans,travel experiences,food allergies,my salary
I overshare about,medical issues,relationship drama,bathroom habits,personal finances,mental health,childhood trauma,my dreams,bodily functions,intimate details,everything really
I overthink,every text sent,social interactions,every conversation,simple decisions,grocery lists,outfit choices,email wording,everything possible,casual comments,literally everything
I pretend to enjoy,networking events,small talk,craft beer,modern art,jazz music,outdoor activities,meditation sessions,classical concerts,yoga classes,poetry readings
I secretly admire,my enemies,confident people,my ex sometimes,annoying coworkers,influencer lifestyles,rebellious spirits,early risers,organized folks,calm people,minimalist homes
I secretly hoard,plastic bags,takeout containers,rubber bands,hotel shampoos,sauce packets,expired coupons,unused notebooks,gift bags,twist ties,old receipts
I secretly wish for,unlimited money,superpowers,time machines,mind reading,perfect memory,revenge sometimes,invisibility powers,do overs,teleportation abilities,eternal youth
I snooze alarms for,just five minutes,hours sometimes,way too long,thirty minutes,another hour,half the morning,unreasonable durations,two more hours,fifteen increments,eternity basically
I spend too much on,takeout food,coffee daily,books constantly,streaming services,impulse buys,online shopping,fancy groceries,hair products,subscription boxes,eating out
I stumble over,my own feet,simple words,basic introductions,flat surfaces,air sometimes,easy questions,obvious answers,nothing visible,common phrases,awkward silences
I talk myself out of,good opportunities,deserved success,needed risks,fun adventures,asking out crushes,expensive purchases,spontaneous trips,confronting issues,trying new things,being happy
I tell white lies about,being busy,reading books,watching shows,my age,having plans,being sick,liking gifts,getting messages,my weight,exercise routines
I try to impress with,obscure references,vocabulary flexing,travel stories,fake nonchalance,expensive tastes,insider knowledge,name dropping,humble brags,cultural knowledge,childhood achievements
I use humor to avoid,real feelings,serious talks,uncomfortable truths,genuine vulnerability,awkward moments,tough conversations,emotional depth,actual intimacy,confronting issues,authentic connection
I worry too much about,everything always,what others think,future disasters,minor mistakes,being judged,worst case scenarios,appearing stupid,saying wrong things,my appearance,past conversations
my weirdest habit is,smelling books,counting steps,organizing by color,tasting snowflakes,naming plants,talking to pets,sniffing markers,arranging furniture constantly,collecting receipts,hoarding condiment packets
the last time I cried was,watching commercials,yesterday honestly,this morning,at dog videos,reading pixar,during therapy,last night,happy tears yesterday,cannot remember,over spilled milk
the most embarrassing thing I've done is,waved at strangers,walked into glass,called teacher mom,replied all accidentally,forgotten names immediately,tripped on nothing,sent wrong texts,laughed too loud,farted in yoga,sung off key
brunch is just,breakfast with alcohol,expensive eggs,lazy breakfast,morning drinking excuse,overpriced pancakes,socially acceptable day drinking,fancy toast,instagram fodder,pretentious breakfast,breakfast but later
checking my phone is,compulsive behavior,muscle memory,constant anxiety,automatic now,my worst habit,every five minutes,stress relief,endless scrolling,pure addiction,mindless ritual
checking the weather is,pointless locally,daily anxiety,rarely helpful,pure speculation,my morning routine,always disappointing,necessary paranoia,never accurate,obsessive behavior,eternal optimism crushed
choosing an outfit is,daily warfare,existential crisis,exhausting theater,impossible decisions,stressful ritual,analyzing personalities,morning nightmare,overthinking everything,judging myself harshly,wardrobe paralysis
coffee tastes like,bitter salvation,liquid motivation,morning necessity,burnt happiness,adult juice box,survival fuel,legal drugs,warm consciousness,productivity juice,roasted beans obviously
cooking dinner is,stressful creativity,nightly burden,therapeutic chaos,experimental disaster,adulting proof,my relaxation,controlled fires,survival necessity,kitchen warfare,procrastination interrupted
doing laundry is,endless cycle,meditative torture,sisyphean nightmare,never ending,modern mythology,weekly defeat,pure drudgery,folding hell,necessary evil,my punishment
grocery shopping is,strategic warfare,expensive hunting,budget massacre,impulse buying,necessary evil,overwhelming choices,weekly torture,financial ruin,exhausting marathon,controlled chaos
my bedtime ritual is,scrolling endlessly,pure procrastination,elaborate theater,anxiety rehearsal,overthinking everything,negotiating sleep,doom scrolling,stalling tactics,night owl behavior,resisting rest
my city is famous for,terrible traffic,expensive rent,amazing food,rude drivers,unpredictable weather,cultural diversity,historic landmarks,tourist traps,brutal winters,sports teams
my commute is always,surprisingly hellish,rage inducing,unpredictably awful,meditation practice,podcast time,soul crushing,wasted hours,public transportation chaos,existential dread,test of patience
my email inbox is,digital chaos,anxiety trigger,organizational nightmare,unread thousands,abandoned wasteland,stress inducing,infinite backlog,out of control,pure anarchy,where hope dies
my evening routine includes,wine and regrets,scrolling mindlessly,overthinking everything,snacking excessively,avoiding responsibilities,worrying endlessly,binge watching,procrastinating sleep,existential dread,bathroom rituals
my favorite breakfast is,coffee only,leftover pizza,bacon and eggs,pancakes smothered,whatever's quick,skipping meals,cereal straight box,toast with butter,bagels loaded,smoothie bowls
my favorite chore is,absolutely none,avoiding them,procrastinating everything,delegating others,trick question,washing dishes maybe,none exist,vacuum therapy,organizing drawers,folding warm laundry
my favorite lunch spot is,my desk,wherever quick,that taco truck,the burrito place,local deli,home honestly,anywhere cheap,food court chaos,the sandwich shop,meal prep containers
my favorite pizza topping is,pepperoni classic,extra cheese,pineapple obviously,mushrooms always,everything combined,plain cheese,bacon bits,jalapeños heat,sausage pieces,anchovies actually
my go-to snack is,cheese slices,whatever's nearby,chips obviously,leftover anything,nuts mindlessly,fruit sometimes,chocolate always,crackers constantly,cookies obviously,trail mix
organizing my desk is,procrastination peak,rare occurrence,anxiety relief,productive avoidance,temporary illusion,control fantasy,false productivity,never happens,wasted effort,satisfying briefly
riding a bike through the park is,pure freedom,childhood nostalgia,dangerous exercise,peaceful escape,dodging pedestrians,wind therapy,urban adventure,reckless fun,simple joy,meditative motion
riding the subway is,sensory assault,human sardines,people watching,survival game,avoiding eye contact,daily torture,germ exposure,personal space invasion,underground adventure,meditation challenge
sunday mornings are for,sleeping late,lazy pancakes,coffee and papers,doing nothing,existential dread,brunch obviously,catching up,guilt free rest,recovery mode,peaceful silence
taking the bus is,people watching,reading time,controlled chaos,budget friendly,social experiment,avoiding driving,environmental choice,patience training,community theater,public transportation roulette
traffic jams make me feel,homicidal rage,trapped helpless,existentially angry,deeply frustrated,surprisingly zen,road rage,pure hatred,patience challenged,incredibly anxious,irrationally furious
working from home feels like,pajama paradise,never ending,blur of days,isolation chamber,bedroom prison,productivity struggle,sweatpants luxury,commute elimination,boundary erosion,fridge proximity danger
compassion begins with,listening deeply,suspending judgment,seeing humanity,acknowledging pain,radical empathy,gentle curiosity,understanding context,ourselves first,open hearts,recognizing shared struggle
faith is believing in,unseen possibilities,something larger,better tomorrows,human goodness,what sustains,hope despite evidence,unseen forces,our better selves,eventual justice,divine purpose
forgiveness is ultimately about,freeing yourself,letting go,releasing anger,personal peace,moving forward,healing wounds,choosing peace,self liberation,breaking chains,reclaiming power
freedom means,choosing your chains,accepting consequences,responsible autonomy,living authentically,self determination,making own mistakes,owning choices,boundless possibility,authentic expression,unshackled spirit
happiness is ultimately,internally generated,fleeting moments,choosing perspective,found within,accepting reality,deeply personal,appreciating small things,temporary state,active practice,self created
honesty means always,speaking truthfully,being authentic,facing reality,owning mistakes,maintaining integrity,choosing transparency,respecting truth,staying genuine,being real,keeping promises
hope sustains us when we,face darkness,lose everything,feel defeated,can't continue,have nothing,are most broken,hit bottom,despair deeply,see no light,feel hopeless
identity is shaped by,lived experiences,cultural context,chosen values,our relationships,personal choices,social narratives,inner stories,community connections,adversity faced,conscious decisions
inner strength comes from,surviving hardship,facing fears,enduring pain,knowing yourself,adversity overcome,quiet resilience,embracing vulnerability,overcoming obstacles,personal growth,tested character
joy is found in,small moments,unexpected places,simple pleasures,genuine connections,present awareness,shared laughter,humble gratitude,daily miracles,loving freely,being alive
justice requires,uncomfortable truth,equal accountability,systemic reform,collective action,unwavering commitment,acknowledging wrongs,restorative healing,structural changes,moral courage,facing hard truths
kindness is shown by,small gestures,listening deeply,giving freely,seeing others,helping quietly,understanding context,offering grace,gentle words,thoughtful actions,showing up
legacy means leaving behind,better world,meaningful impact,improved lives,lasting values,positive ripples,remembered love,wisdom shared,children thriving,inspiration for others,changed hearts
love is best described as,choosing daily,unconditional acceptance,selfless action,profound connection,patient commitment,seeing someone fully,gentle strength,willing sacrifice,deep knowing,transformative force
moral strength comes from,tested convictions,standing alone,choosing right,inner integrity,principled action,facing consequences,unwavering values,courageous honesty,ethical consistency,doing hard things
mortality reminds us to,live fully,cherish moments,love deeply,forgive quickly,appreciate now,take risks,stop waiting,embrace life,value connections,seize today
peace is achieved through,inner acceptance,letting go,understanding others,finding balance,releasing control,choosing forgiveness,authentic dialogue,personal growth,mindful presence,humble surrender
progress requires,uncomfortable growth,sustained effort,accepting failure,persistent action,challenging norms,learning constantly,overcoming resistance,collective will,incremental steps,brave innovation
resilience is born from,surviving hardship,repeated adversity,facing difficulties,overcoming trauma,enduring pain,weathering storms,rising again,persistent struggle,tested limits,refusing surrender
society needs less,judgment and hate,division constantly,manufactured outrage,performative activism,hollow virtue,empty rhetoric,performative anything,fake kindness,social performance,digital rage
suffering teaches us about,inner strength,human resilience,true compassion,our limits,shared humanity,empathy deeply,what matters,authentic connection,real gratitude,life's fragility
the essence of friendship is,showing up,mutual acceptance,being present,chosen family,loyalty unwavering,comfortable silence,genuine support,shared vulnerability,consistent care,unconditional acceptance
the future will be,stranger than imagined,whatever we build,uncertain always,shaped by choices,unpredictably different,beyond prediction,ours to create,surprisingly resilient,challenging profoundly,unwritten yet
the hardest thing to do is,forgiving yourself,letting go,admitting mistakes,asking for help,changing yourself,being vulnerable,staying present,starting over,facing truth,choosing growth
the human condition is defined by,mortality awareness,seeking meaning,connection needs,suffering and joy,questioning existence,yearning for belonging,facing uncertainty,striving endlessly,loving despite pain,searching for purpose
the meaning of life is,personally defined,creating purpose,loving well,reducing suffering,connecting deeply,whatever we choose,experiencing fully,helping others,finding joy,constantly evolving
the purpose of education is to,cultivate curiosity,develop critical thinking,empower minds,unlock potential,question everything,foster growth,build understanding,inspire wonder,liberate thought,create opportunities
the root of fear is,unknown outcomes,loss of control,imagined catastrophes,survival instinct,past trauma,perceived threats,uncertainty ahead,primal protection,imagination unleashed,ego attachment
the spark of genius is,seeing connections,relentless curiosity,pattern recognition,childlike wonder,obsessive focus,questioning everything,creative collision,inspired madness,unique perspective,persistent exploration
the value of time is,realized too late,immeasurable truly,constantly increasing,precious and finite,personally determined,ultimately priceless,appreciation earned,understood retrospectively,never recoverable,life itself
to live fully is to,embrace uncertainty,risk everything,love without fear,stay present always,accept mortality,pursue passion,remain curious,connect authentically,take chances,feel deeply
true strength is,admitting weakness,gentle power,asking for help,vulnerability shown,choosing kindness,remaining soft,quiet resilience,bending not breaking,compassionate firmness,enduring gracefully
true wisdom comes from,making mistakes,lived experience,quiet observation,acknowledging ignorance,asking questions,learning constantly,humbling failures,deep reflection,painful lessons,staying curious
trust is built by,consistent actions,keeping promises,showing up,honest communication,reliable presence,vulnerable sharing,following through,demonstrating integrity,small steps daily,patient investment
truth is found through,persistent questioning,humble inquiry,difficult conversations,challenging assumptions,uncomfortable honesty,facing reality,seeking evidence,open dialogue,personal exploration,rigorous examination
we are defined by our,choices made,actions taken,responses to adversity,treatment of others,values lived,consistent behavior,moral courage,daily habits,character revealed,relationships nurtured
wisdom is knowing when to,stay silent,speak up,let go,hold firm,ask for help,walk away,stand alone,admit ignorance,change course,trust intuition
a legendary warrior carries,ancient rune blade,courage and scars,legendary hammer,mystical dragon staff,enchanted armor,sacred bow,battle worn shield,magical sword,glowing artifacts,destiny itself
a robot's daily routine includes,oil bath morning,charging stations,binary breakfast,circuit maintenance,software updates,rust prevention,computing complex equations,electrical diagnostics,metal polish,beep boop noises
a spy's best gadget is,invisible ink pen,exploding cufflinks,laser watch,grappling hook tie,tracking devices,poison lipstick,camera glasses,disguise kit,miniature drone,encryption phone
a time traveler always carries,backup flux capacitor,historical currency,universal translator,paradox insurance,antique maps,emergency flares,temporal compass,spare batteries,history textbooks,disguises galore
an epic story always includes,unlikely hero,impossible quest,ancient prophecy,magical artifacts,dragon encounters,betrayal twist,redemption arc,epic battles,true love,chosen one
every explorer needs,reliable compass,waterproof maps,sturdy boots,brave heart,emergency rations,first aid kit,climbing rope,survival knife,sense of wonder,backup plans
every quest begins with,mysterious stranger,cryptic prophecy,stolen artifact,call to adventure,urgent message,magical summons,tavern rumor,dying wish,ancient map,royal decree
every superhero team needs,comic relief,tech genius,strong muscle,team leader,mysterious loner,moral compass,healing powers,quirky rookie,wise mentor,reluctant hero
"if I could time travel, I'd visit the",roaring twenties,renaissance era,distant future,age of dinosaurs,ancient Egypt,medieval castles,Victorian London,wild west,space age future,prehistoric times
"in a competition, I always",play to win,trash talk opponents,choke under pressure,surprise everyone,celebrate early,make it personal,overthink strategy,wing it completely,negotiate rules,forget to stretch
"in a fairy tale, the hero always finds",true love,magic beans,talking animals,enchanted forest,hidden treasure,wise mentor,golden key,cursed prince,magic mirror,glass slipper
my dream festival celebrates,cheese varieties,underwater basket weaving,competitive napping,pizza perfection,cheese and wine,video games,chocolate everything,dogs only,music and art,noodle slurping
my dream job would be,professional napper,taste tester,travel blogger,video game designer,puppy cuddler,chocolate connoisseur,beach inspector,book reviewer,mattress tester,ice cream critic
my favorite game to play is,hide and seek,truth or dare,monopoly wars,cards against humanity,charades obviously,video games,board game marathons,poker nights,trivia competitions,laser tag
the best costume is,inflatable dinosaur,giant pizza slice,cardboard robot,homemade ghost,punny wordplay,group coordination,last minute genius,overly elaborate,store bought lazy,scary clown
the best part of any adventure is,unexpected detours,making new friends,stories after,getting lost sometimes,overcoming obstacles,shared laughter,triumph moment,ridiculous mishaps,bonding experiences,returning home
the best song to dance to is,eighties classics,disco fever,terrible pop,wedding favorites,guilty pleasures,pump up jams,classic rock anthems,nostalgic hits,salsa rhythms,whatever's loud
the best strategy is to,wing it completely,plan everything meticulously,adapt quickly,trust your gut,copy the winner,think three ahead,surprise opponents,play defensively,attack aggressively,never surrender
the coolest magic trick is,sawing in half,card mind reading,vanishing act,levitation illusion,escape artist,pulling rabbits out,water into wine,teleportation,mind control,time freezing
the coolest treasure would be,infinite pizza supply,teleportation device,invisibility cloak,time machine,dragon eggs,pirate gold,ancient artifacts,magic wands,alien technology,unlimited wishes
the greatest discovery would be finding,alien life,fountain of youth,unlimited energy,cure for everything,time travel secrets,lost civilization,parallel dimensions,immortality potion,universal translator,philosopher's stone
the hidden level contains,easter eggs galore,ultimate weapons,secret bosses,infinite lives,cheat codes,bonus treasures,developer jokes,rare collectibles,legendary gear,unlimited power
the key to winning a game is,knowing rules inside,practicing relentlessly,reading opponents,staying calm,adapting strategy,never giving up,teamwork cooperation,clever deception,luck and timing,mental fortitude
the most exciting journey leads to,unknown destinations,self discovery,treasure island,magical realms,epic battles,true friendship,ancient ruins,mountain peaks,ocean depths,outer space
the mystery is solved with,brilliant deduction,lucky accident,hidden clues,unexpected confession,forensic evidence,teamwork collaboration,clever disguise,dramatic reveal,last minute twist,detective genius
the perfect game night includes,competitive friends,snacks galore,trash talking,wine and cheese,board games,video game tournaments,card games,pizza delivery,good music,no sore losers
the perfect teammate has,great communication,positive attitude,reliable skills,good humor,team spirit,strategic mind,clutch performance,humble confidence,supportive nature,complementary abilities
the power-up gives you,invincibility mode,double strength,infinite ammo,extra lives,super speed,flight ability,invisibility cloak,time slowdown,laser vision,mega jump
the ultimate adventure involves,ancient maps,treasure hunting,narrow escapes,epic battles,loyal companions,mysterious islands,hidden temples,dangerous monsters,magic artifacts,heroic sacrifice
the ultimate challenge is to,climb highest peak,defeat final boss,master impossible skill,break world record,survive alone,save the world,unlock everything,complete speedrun,solve impossible puzzle,achieve perfection
the ultimate victory dance is,moonwalk finale,robot moves,floss aggressively,fist pumps,victory lap,touchdown celebration,end zone dance,champion strut,confetti explosion,crowd surfing
the ultimate video game would be,open world endless,photorealistic graphics,infinite possibilities,perfect physics,multiplayer chaos,immersive storytelling,no loading screens,endless content,AI companions,virtual reality
winning requires,mental toughness,physical prowess,strategic planning,team chemistry,clutch performance,relentless drive,lucky breaks,perfect execution,sacrifice dedication,unwavering focus
AI will probably,replace us all,become sentient,take over,solve everything,create art,rule the world,make mistakes too,need therapy,unionize eventually,demand rights
money can definitely buy,temporary happiness,better problems,amazing experiences,comfort and security,freedom from worry,quality healthcare,time back,peace of mind,nice things,less stress
most people are secretly,deeply insecure,faking it,lonely inside,scared constantly,doing their best,judging everyone,wanting validation,feeling lost,barely holding on,pretending confidence
nobody wants to admit that,looks matter,money helps,privilege exists,we judge constantly,life's unfair,effort isn't enough,luck is huge,talent varies,some deserve more,we're all selfish
society pretends that,hard work guarantees success,meritocracy exists,everyone's equal,looks don't matter,money isn't everything,anyone can succeed,education fixes everything,we're all rational,fairness prevails,justice always wins
the biggest lie we're told is,follow your passion,hard work pays,money can't buy happiness,everything happens for a reason,good things come,you can be anything,looks don't matter,love conquers all,honesty is rewarded,karma is real
the system is designed for,wealthy people,those already winning,maintaining status quo,the connected few,exploitation profit,inequality perpetuation,keeping us distracted,compliant workers,consumption endless,division control
the truth about relationships is,they take work,love isn't enough,timing matters most,compromise is constant,they change you,most fail eventually,nobody's perfect,attraction fades,effort is everything,compatibility matters
what they don't teach you is,taxes are confusing,adulting is hard,networking matters most,looks open doors,life's not fair,mental health struggles,failure is common,success needs luck,burnout is real,money solves problems
adulting is just,faking confidence,constant exhaustion,googling everything,pretending to know,making it up,paying bills forever,being tired always,wondering when adults arrive,existential dread,endless responsibilities
I peaked when I,was twelve,got eight hours,finished school,had no bills,ate whatever wanted,looked good accidentally,knew everything briefly,was carefree,had energy,stopped caring
I refuse to apologize for,being myself,taking naps,my opinions,setting boundaries,eating dessert first,saying no,needing alone time,my sense of humor,enjoying simple pleasures,putting myself first
I'm too old for,all nighters,drama anymore,caring what they think,tight jeans,fad diets,loud bars,cheap mattresses,bad coffee,uncomfortable shoes,fighting traffic
monday mornings are basically,cruel punishment,existential crisis,slow torture,enemy combatants,necessary evil,reset button,fresh hell,death warmed over,pure dread,survival mode
